company,title,location,has_remote,is_agency,published,expired,experience_level,experience_years,salary_min,salary_max,salary_currency,views,clicks,foo_url,apply_url
Databricks,Staff Security Software Engineer,United States,Y,N,2025-09-10 15:26:50,,SE,8,,,USD,1,0,https://foorilla.com/hiring/jobs/staff-security-software-engineer-united-states-1190222/,https://databricks.com/company/careers/open-positions/job?gh_jid=7932280002
Replicant,Senior Machine Learning Engineer,United States,Y,N,2025-09-11 23:30:31,,SE,5,,,USD,12,8,https://foorilla.com/hiring/jobs/senior-machine-learning-engineer-united-states-1016846/,https://jobs.ashbyhq.com/replicant/3386a2a4-619b-4a34-b605-a640f96f2fb2
Zapier,"Engineering Manager, Data Engineering",NAMER,Y,N,2025-10-24 15:21:41,,SE,8,187000,281000,USD,5,4,https://foorilla.com/hiring/jobs/engineering-manager-data-engineering-namer-1302574/,https://jobs.ashbyhq.com/zapier/a001ec9e-c45f-411b-bdbd-f59e393cd7bd
Apollo.io,Staff AI Engineer,"Remote, United States",Y,N,2025-09-11 03:25:44,,SE,8,200000,280000,USD,25,14,https://foorilla.com/hiring/jobs/staff-ai-engineer-remote-united-states-1005931/,https://job-boards.greenhouse.io/apolloio/jobs/5639316004
AssemblyAI,Lead AI Platform Engineer,"New York, New York",Y,N,2025-09-26 22:02:05,,SE,8,230000,275000,USD,17,8,https://foorilla.com/hiring/jobs/lead-ai-platform-engineer-new-york-new-york-1113200/,https://job-boards.greenhouse.io/assemblyai/jobs/4613277005
Databricks,"Sr. Solutions Engineer, Retail - CPG",Illinois,N,N,2025-10-21 21:05:16,,SE,5,,,USD,0,0,https://foorilla.com/hiring/jobs/sr-solutions-engineer-retail-cpg-illinois-1277086/,https://databricks.com/company/careers/open-positions/job?gh_jid=7507778002
Databricks,"Solutions Architect, Retail - CPG",Northeast - United States,N,N,2025-10-21 21:02:24,,SE,8,,,USD,0,0,https://foorilla.com/hiring/jobs/solutions-architect-retail-cpg-northeast-united-states-1277088/,https://databricks.com/company/careers/open-positions/job?gh_jid=8221491002
Hightouch,"Machine Learning Engineer, AI Decisioning",Remote (North America),Y,N,2025-09-22 17:09:16,,SE,3,200000,260000,USD,5,4,https://foorilla.com/hiring/jobs/machine-learning-engineer-ai-decisioning-remote-north-america-1079147/,https://job-boards.greenhouse.io/hightouch/jobs/5155115004
Zapier,Sr. Data Engineer,NAMER,Y,N,2025-10-20 12:40:50,,SE,6,170000,256000,USD,1,1,https://foorilla.com/hiring/jobs/sr-data-engineer-namer-1269007/,https://jobs.ashbyhq.com/zapier/3d1d56cd-7e37-4bac-9494-5a571febdaf4
TensorStax,"Backend Engineer, Data & Agent Platform","San Francisco, CA",N,N,2025-09-14 16:23:49,,SE,3,,,USD,0,0,https://foorilla.com/hiring/jobs/backend-engineer-data-agent-platform-san-francisco-ca-1032926/,https://jobs.gem.com/tensorstax-com/am9icG9zdDotZ877-NHVZGvVRqRaKRzO
Databricks,"Solutions Architect - Digital Native Business, Strategic",United States,Y,N,2025-11-04 21:19:58,,SE,5,161300,225800,USD,0,0,https://foorilla.com/hiring/jobs/solutions-architect-digital-native-business-strategic-united-states-1369990/,https://databricks.com/company/careers/open-positions/job?gh_jid=8227356002
Databricks,Specialist Solutions Architect,United States,N,N,2025-09-29 04:56:11,,SE,5,161300,225800,USD,1,0,https://foorilla.com/hiring/jobs/specialist-solutions-architect-united-states-1119603/,https://databricks.com/company/careers/open-positions/job?gh_jid=8175788002
Zapier,Data Engineer,NAMER,Y,N,2025-10-20 12:40:52,,SE,4,141000,211000,USD,2,1,https://foorilla.com/hiring/jobs/data-engineer-namer-1269006/,https://jobs.ashbyhq.com/zapier/fa3ccba9-dacd-4f78-b615-99f85dc02acd
Nearsure,(1226) Senior Data Engineer,Latin America - Remote,Y,N,2025-09-19 12:59:21,,SE,5,,,USD,3,0,https://foorilla.com/hiring/jobs/1226-senior-data-engineer-latin-america-remote-1070054/,https://job-boards.greenhouse.io/nearsure/jobs/4911060007
6sense,Sr. Data Scientist,"United States, Remote",Y,N,2025-09-25 22:46:36,,SE,5,162924,198342,USD,0,0,https://foorilla.com/hiring/jobs/sr-data-scientist-united-states-remote-1168974/,https://boards.greenhouse.io/6sense/jobs/6739290?gh_jid=6739290
6sense,AI Engineer,"San Francisco, California, United States",Y,N,2025-09-12 23:24:37,,SE,5,133688,178250,USD,3,1,https://foorilla.com/hiring/jobs/ai-engineer-san-francisco-california-united-states-1168904/,https://boards.greenhouse.io/6sense/jobs/6708532?gh_jid=6708532
